Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/10/2019,"1,953","5,016",1.83,0,"1,197",234,9,0,769
10/11/2019,"2,531","16,920",5.94,0,660,360,74,10,"1,538"
10/12/2019,"1,361",0,0,0,"1,440",0,0,0,0
10/13/2019,"1,361",0,0,0,"1,440",0,0,0,0
10/14/2019,930,0,0,0,984,0,0,0,0
