Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/7/2019,"2,196","4,897",2,0,"1,239",88,63,50,917
10/8/2019,"3,001","13,010",4.94,0,"1,038",263,80,59,"1,788"
10/9/2019,"3,291","15,111",4.54,0,938,291,138,73,"2,218"
10/10/2019,"2,831","10,572",3.85,0,698,287,66,39,"1,593"
10/11/2019,"3,164","13,373",4.64,0,654,204,103,114,"1,997"
10/12/2019,"2,378","10,098",4.21,0,717,116,63,52,"1,048"
10/13/2019,"3,218","12,460",4.44,0,609,253,75,113,"2,056"
10/14/2019,"3,041","12,154",4.52,0,802,224,57,121,"1,851"
10/15/2019,"2,604","10,804",4.1,0,693,197,55,62,"1,402"
